id,pokemon_id,generation_id,primary_type_id,secondary_type_id,meta
94,94,1,14,8,"gengar -- generation 1 -- ghost,poison"
95,95,1,13,9,"onix -- generation 1 -- rock,ground"
96,96,1,11,,drowzee -- generation 1 -- psychic
97,97,1,11,,hypno -- generation 1 -- psychic
98,98,1,3,,krabby -- generation 1 -- water
99,99,1,3,,kingler -- generation 1 -- water
100,100,1,4,,voltorb -- generation 1 -- electric
101,101,1,4,,electrode -- generation 1 -- electric
102,102,1,5,11,"exeggcute -- generation 1 -- grass,psychic"
103,103,1,5,11,"exeggutor -- generation 1 -- grass,psychic"
104,104,1,9,,cubone -- generation 1 -- ground
105,105,1,9,,marowak -- generation 1 -- ground
106,106,1,7,,hitmonlee -- generation 1 -- fighting
107,107,1,7,,hitmonchan -- generation 1 -- fighting
108,108,1,1,,lickitung -- generation 1 -- normal
109,109,1,8,,koffing -- generation 1 -- poison
110,110,1,8,,weezing -- generation 1 -- poison
111,111,1,9,13,"rhyhorn -- generation 1 -- ground,rock"
112,112,1,9,13,"rhydon -- generation 1 -- ground,rock"
113,113,1,1,,chansey -- generation 1 -- normal
114,114,1,5,,tangela -- generation 1 -- grass
115,115,1,1,,kangaskhan -- generation 1 -- normal
116,116,1,3,,horsea -- generation 1 -- water
117,117,1,3,,seadra -- generation 1 -- water
118,118,1,3,,goldeen -- generation 1 -- water
119,119,1,3,,seaking -- generation 1 -- water
120,120,1,3,,staryu -- generation 1 -- water
121,121,1,3,11,"starmie -- generation 1 -- water,psychic"
122,122,1,11,,mrmime -- generation 1 -- psychic
123,123,1,12,10,"scyther -- generation 1 -- bug,flying"
124,124,1,6,11,"jynx -- generation 1 -- ice,psychic"
125,125,1,4,,electabuzz -- generation 1 -- electric
126,126,1,2,,magmar -- generation 1 -- fire
127,127,1,12,,pinsir -- generation 1 -- bug
128,128,1,1,,tauros -- generation 1 -- normal
129,129,1,3,,magikarp -- generation 1 -- water
130,130,1,3,10,"gyarados -- generation 1 -- water,flying"
131,131,1,3,6,"lapras -- generation 1 -- water,ice"
132,132,1,1,,ditto -- generation 1 -- normal
133,133,1,1,,eevee -- generation 1 -- normal
134,134,1,3,,vaporeon -- generation 1 -- water
135,135,1,4,,jolteon -- generation 1 -- electric
136,136,1,2,,flareon -- generation 1 -- fire
137,137,1,1,,porygon -- generation 1 -- normal
138,138,1,13,3,"omanyte -- generation 1 -- rock,water"
139,139,1,13,3,"omastar -- generation 1 -- rock,water"
140,140,1,13,3,"kabuto -- generation 1 -- rock,water"
141,141,1,13,3,"kabutops -- generation 1 -- rock,water"
142,142,1,13,10,"aerodactyl -- generation 1 -- rock,flying"
143,143,1,1,,snorlax -- generation 1 -- normal
144,144,1,6,10,"articuno -- generation 1 -- ice,flying"
145,145,1,4,10,"zapdos -- generation 1 -- electric,flying"
146,146,1,2,10,"moltres -- generation 1 -- fire,flying"
147,147,1,15,,dratini -- generation 1 -- dragon
148,148,1,15,,dragonair -- generation 1 -- dragon
149,149,1,15,10,"dragonite -- generation 1 -- dragon,flying"
150,150,1,11,,mewtwo -- generation 1 -- psychic
151,151,1,11,,mew -- generation 1 -- psychic
152,1,2,5,8,"bulbasaur -- generation 2 -- grass,poison"
153,2,2,5,8,"ivysaur -- generation 2 -- grass,poison"
154,3,2,5,8,"venusaur -- generation 2 -- grass,poison"
155,4,2,2,,charmander -- generation 2 -- fire
156,5,2,2,,charmeleon -- generation 2 -- fire
157,6,2,2,10,"charizard -- generation 2 -- fire,flying"
158,7,2,3,,squirtle -- generation 2 -- water
159,8,2,3,,wartortle -- generation 2 -- water
160,9,2,3,,blastoise -- generation 2 -- water
161,10,2,12,,caterpie -- generation 2 -- bug
162,11,2,12,,metapod -- generation 2 -- bug
163,12,2,12,10,"butterfree -- generation 2 -- bug,flying"
164,13,2,12,8,"weedle -- generation 2 -- bug,poison"
165,14,2,12,8,"kakuna -- generation 2 -- bug,poison"
166,15,2,12,8,"beedrill -- generation 2 -- bug,poison"
167,16,2,1,10,"pidgey -- generation 2 -- normal,flying"
168,17,2,1,10,"pidgeotto -- generation 2 -- normal,flying"
169,18,2,1,10,"pidgeot -- generation 2 -- normal,flying"
170,19,2,1,,rattata -- generation 2 -- normal
171,20,2,1,,raticate -- generation 2 -- normal
172,21,2,1,10,"spearow -- generation 2 -- normal,flying"
173,22,2,1,10,"fearow -- generation 2 -- normal,flying"
174,23,2,8,,ekans -- generation 2 -- poison
175,24,2,8,,arbok -- generation 2 -- poison
176,25,2,4,,pikachu -- generation 2 -- electric
177,26,2,4,,raichu -- generation 2 -- electric
178,27,2,9,,sandshrew -- generation 2 -- ground
179,28,2,9,,sandslash -- generation 2 -- ground
180,29,2,8,,nidoranf -- generation 2 -- poison
181,30,2,8,,nidorina -- generation 2 -- poison
182,31,2,8,9,"nidoqueen -- generation 2 -- poison,ground"
183,32,2,8,,nidoranm -- generation 2 -- poison
184,33,2,8,,nidorino -- generation 2 -- poison
185,34,2,8,9,"nidoking -- generation 2 -- poison,ground"
186,35,2,1,,clefairy -- generation 2 -- normal
187,36,2,1,,clefable -- generation 2 -- normal
188,37,2,2,,vulpix -- generation 2 -- fire
189,38,2,2,,ninetales -- generation 2 -- fire
190,39,2,1,,jigglypuff -- generation 2 -- normal
191,40,2,1,,wigglytuff -- generation 2 -- normal
192,41,2,8,10,"zubat -- generation 2 -- poison,flying"
193,42,2,8,10,"golbat -- generation 2 -- poison,flying"
194,43,2,5,8,"oddish -- generation 2 -- grass,poison"
195,44,2,5,8,"gloom -- generation 2 -- grass,poison"
196,45,2,5,8,"vileplume -- generation 2 -- grass,poison"
197,46,2,12,5,"paras -- generation 2 -- bug,grass"
198,47,2,12,5,"parasect -- generation 2 -- bug,grass"
199,48,2,12,8,"venonat -- generation 2 -- bug,poison"
200,49,2,12,8,"venomoth -- generation 2 -- bug,poison"
201,50,2,9,,diglett -- generation 2 -- ground
202,51,2,9,,dugtrio -- generation 2 -- ground
203,52,2,1,,meowth -- generation 2 -- normal
204,53,2,1,,persian -- generation 2 -- normal
205,54,2,3,,psyduck -- generation 2 -- water
206,55,2,3,,golduck -- generation 2 -- water
207,56,2,7,,mankey -- generation 2 -- fighting
208,57,2,7,,primeape -- generation 2 -- fighting
209,58,2,2,,growlithe -- generation 2 -- fire
210,59,2,2,,arcanine -- generation 2 -- fire
211,60,2,3,,poliwag -- generation 2 -- water
212,61,2,3,,poliwhirl -- generation 2 -- water
213,62,2,3,7,"poliwrath -- generation 2 -- water,fighting"
214,63,2,11,,abra -- generation 2 -- psychic
215,64,2,11,,kadabra -- generation 2 -- psychic
216,65,2,11,,alakazam -- generation 2 -- psychic
217,66,2,7,,machop -- generation 2 -- fighting
218,67,2,7,,machoke -- generation 2 -- fighting
219,68,2,7,,machamp -- generation 2 -- fighting
220,69,2,5,8,"bellsprout -- generation 2 -- grass,poison"
221,70,2,5,8,"weepinbell -- generation 2 -- grass,poison"
222,71,2,5,8,"victreebel -- generation 2 -- grass,poison"
223,72,2,3,8,"tentacool -- generation 2 -- water,poison"
224,73,2,3,8,"tentacruel -- generation 2 -- water,poison"
225,74,2,13,9,"geodude -- generation 2 -- rock,ground"
226,75,2,13,9,"graveler -- generation 2 -- rock,ground"
227,76,2,13,9,"golem -- generation 2 -- rock,ground"
228,77,2,2,,ponyta -- generation 2 -- fire
229,78,2,2,,rapidash -- generation 2 -- fire
230,79,2,3,11,"slowpoke -- generation 2 -- water,psychic"
231,80,2,3,11,"slowbro -- generation 2 -- water,psychic"
232,81,2,4,17,"magnemite -- generation 2 -- electric,steel"
233,82,2,4,17,"magneton -- generation 2 -- electric,steel"
234,83,2,1,10,"farfetchd -- generation 2 -- normal,flying"
235,84,2,1,10,"doduo -- generation 2 -- normal,flying"
236,85,2,1,10,"dodrio -- generation 2 -- normal,flying"
237,86,2,3,,seel -- generation 2 -- water
238,87,2,3,6,"dewgong -- generation 2 -- water,ice"
239,88,2,8,,grimer -- generation 2 -- poison
240,89,2,8,,muk -- generation 2 -- poison
241,90,2,3,,shellder -- generation 2 -- water
242,91,2,3,6,"cloyster -- generation 2 -- water,ice"
243,92,2,14,8,"gastly -- generation 2 -- ghost,poison"
244,93,2,14,8,"haunter -- generation 2 -- ghost,poison"
245,94,2,14,8,"gengar -- generation 2 -- ghost,poison"
246,95,2,13,9,"onix -- generation 2 -- rock,ground"
247,96,2,11,,drowzee -- generation 2 -- psychic
248,97,2,11,,hypno -- generation 2 -- psychic
249,98,2,3,,krabby -- generation 2 -- water
250,99,2,3,,kingler -- generation 2 -- water
251,100,2,4,,voltorb -- generation 2 -- electric
252,101,2,4,,electrode -- generation 2 -- electric
253,102,2,5,11,"exeggcute -- generation 2 -- grass,psychic"
254,103,2,5,11,"exeggutor -- generation 2 -- grass,psychic"
255,104,2,9,,cubone -- generation 2 -- ground
256,105,2,9,,marowak -- generation 2 -- ground
257,106,2,7,,hitmonlee -- generation 2 -- fighting
258,107,2,7,,hitmonchan -- generation 2 -- fighting
259,108,2,1,,lickitung -- generation 2 -- normal
260,109,2,8,,koffing -- generation 2 -- poison
261,110,2,8,,weezing -- generation 2 -- poison
262,111,2,9,13,"rhyhorn -- generation 2 -- ground,rock"
263,112,2,9,13,"rhydon -- generation 2 -- ground,rock"
264,113,2,1,,chansey -- generation 2 -- normal
265,114,2,5,,tangela -- generation 2 -- grass
266,115,2,1,,kangaskhan -- generation 2 -- normal
267,116,2,3,,horsea -- generation 2 -- water
268,117,2,3,,seadra -- generation 2 -- water
269,118,2,3,,goldeen -- generation 2 -- water
270,119,2,3,,seaking -- generation 2 -- water
271,120,2,3,,staryu -- generation 2 -- water
272,121,2,3,11,"starmie -- generation 2 -- water,psychic"
273,122,2,11,,mrmime -- generation 2 -- psychic
274,123,2,12,10,"scyther -- generation 2 -- bug,flying"
275,124,2,6,11,"jynx -- generation 2 -- ice,psychic"
276,125,2,4,,electabuzz -- generation 2 -- electric
277,126,2,2,,magmar -- generation 2 -- fire
278,127,2,12,,pinsir -- generation 2 -- bug
279,128,2,1,,tauros -- generation 2 -- normal
280,129,2,3,,magikarp -- generation 2 -- water
281,130,2,3,10,"gyarados -- generation 2 -- water,flying"
282,131,2,3,6,"lapras -- generation 2 -- water,ice"
283,132,2,1,,ditto -- generation 2 -- normal
284,133,2,1,,eevee -- generation 2 -- normal
285,134,2,3,,vaporeon -- generation 2 -- water
286,135,2,4,,jolteon -- generation 2 -- electric
287,136,2,2,,flareon -- generation 2 -- fire
288,137,2,1,,porygon -- generation 2 -- normal
289,138,2,13,3,"omanyte -- generation 2 -- rock,water"
290,139,2,13,3,"omastar -- generation 2 -- rock,water"
291,140,2,13,3,"kabuto -- generation 2 -- rock,water"
292,141,2,13,3,"kabutops -- generation 2 -- rock,water"
293,142,2,13,10,"aerodactyl -- generation 2 -- rock,flying"
294,143,2,1,,snorlax -- generation 2 -- normal
295,144,2,6,10,"articuno -- generation 2 -- ice,flying"
296,145,2,4,10,"zapdos -- generation 2 -- electric,flying"
297,146,2,2,10,"moltres -- generation 2 -- fire,flying"
298,147,2,15,,dratini -- generation 2 -- dragon
299,148,2,15,,dragonair -- generation 2 -- dragon
300,149,2,15,10,"dragonite -- generation 2 -- dragon,flying"
301,150,2,11,,mewtwo -- generation 2 -- psychic
302,151,2,11,,mew -- generation 2 -- psychic
303,152,2,5,,chikorita -- generation 2 -- grass
304,153,2,5,,bayleef -- generation 2 -- grass
305,154,2,5,,meganium -- generation 2 -- grass
306,155,2,2,,cyndaquil -- generation 2 -- fire
307,156,2,2,,quilava -- generation 2 -- fire
308,157,2,2,,typhlosion -- generation 2 -- fire
309,158,2,3,,totodile -- generation 2 -- water
310,159,2,3,,croconaw -- generation 2 -- water
311,160,2,3,,feraligatr -- generation 2 -- water
312,161,2,1,,sentret -- generation 2 -- normal
313,162,2,1,,furret -- generation 2 -- normal
314,163,2,1,10,"hoothoot -- generation 2 -- normal,flying"
315,164,2,1,10,"noctowl -- generation 2 -- normal,flying"
316,165,2,12,10,"ledyba -- generation 2 -- bug,flying"
317,166,2,12,10,"ledian -- generation 2 -- bug,flying"
318,167,2,12,8,"spinarak -- generation 2 -- bug,poison"
319,168,2,12,8,"ariados -- generation 2 -- bug,poison"
320,169,2,8,10,"crobat -- generation 2 -- poison,flying"
321,170,2,3,4,"chinchou -- generation 2 -- water,electric"
322,171,2,3,4,"lanturn -- generation 2 -- water,electric"
323,172,2,4,,pichu -- generation 2 -- electric
324,173,2,1,,cleffa -- generation 2 -- normal
325,174,2,1,,igglybuff -- generation 2 -- normal
326,175,2,1,,togepi -- generation 2 -- normal
327,176,2,1,10,"togetic -- generation 2 -- normal,flying"
328,177,2,11,10,"natu -- generation 2 -- psychic,flying"
329,178,2,11,10,"xatu -- generation 2 -- psychic,flying"
330,179,2,4,,mareep -- generation 2 -- electric
331,180,2,4,,flaaffy -- generation 2 -- electric
332,181,2,4,,ampharos -- generation 2 -- electric
333,182,2,5,,bellossom -- generation 2 -- grass
334,183,2,3,,marill -- generation 2 -- water
335,184,2,3,,azumarill -- generation 2 -- water
336,185,2,13,,sudowoodo -- generation 2 -- rock
337,186,2,3,,politoed -- generation 2 -- water
338,187,2,5,10,"hoppip -- generation 2 -- grass,flying"
339,188,2,5,10,"skiploom -- generation 2 -- grass,flying"
340,189,2,5,10,"jumpluff -- generation 2 -- grass,flying"
341,190,2,1,,aipom -- generation 2 -- normal
342,191,2,5,,sunkern -- generation 2 -- grass
343,192,2,5,,sunflora -- generation 2 -- grass
344,193,2,12,10,"yanma -- generation 2 -- bug,flying"
345,194,2,3,9,"wooper -- generation 2 -- water,ground"
346,195,2,3,9,"quagsire -- generation 2 -- water,ground"
347,196,2,11,,espeon -- generation 2 -- psychic
348,197,2,16,,umbreon -- generation 2 -- dark
349,198,2,16,10,"murkrow -- generation 2 -- dark,flying"
350,199,2,3,11,"slowking -- generation 2 -- water,psychic"
351,200,2,14,,misdreavus -- generation 2 -- ghost
352,201,2,11,,unown -- generation 2 -- psychic
353,202,2,11,,wobbuffet -- generation 2 -- psychic
354,203,2,1,11,"girafarig -- generation 2 -- normal,psychic"
355,204,2,12,,pineco -- generation 2 -- bug
356,205,2,12,17,"forretress -- generation 2 -- bug,steel"
357,206,2,1,,dunsparce -- generation 2 -- normal
358,207,2,9,10,"gligar -- generation 2 -- ground,flying"
359,208,2,17,9,"steelix -- generation 2 -- steel,ground"
360,209,2,1,,snubbull -- generation 2 -- normal
361,210,2,1,,granbull -- generation 2 -- normal
362,211,2,3,8,"qwilfish -- generation 2 -- water,poison"
363,212,2,12,17,"scizor -- generation 2 -- bug,steel"
364,213,2,12,13,"shuckle -- generation 2 -- bug,rock"
365,214,2,12,7,"heracross -- generation 2 -- bug,fighting"
366,215,2,16,6,"sneasel -- generation 2 -- dark,ice"
367,216,2,1,,teddiursa -- generation 2 -- normal
368,217,2,1,,ursaring -- generation 2 -- normal
369,218,2,2,,slugma -- generation 2 -- fire
370,219,2,2,13,"magcargo -- generation 2 -- fire,rock"
371,220,2,6,9,"swinub -- generation 2 -- ice,ground"
372,221,2,6,9,"piloswine -- generation 2 -- ice,ground"
373,222,2,3,13,"corsola -- generation 2 -- water,rock"
374,223,2,3,,remoraid -- generation 2 -- water
375,224,2,3,,octillery -- generation 2 -- water
376,225,2,6,10,"delibird -- generation 2 -- ice,flying"
377,226,2,3,10,"mantine -- generation 2 -- water,flying"
378,227,2,17,10,"skarmory -- generation 2 -- steel,flying"
379,228,2,16,2,"houndour -- generation 2 -- dark,fire"
380,229,2,16,2,"houndoom -- generation 2 -- dark,fire"
381,230,2,3,15,"kingdra -- generation 2 -- water,dragon"
382,231,2,9,,phanpy -- generation 2 -- ground
383,232,2,9,,donphan -- generation 2 -- ground
384,233,2,1,,porygon2 -- generation 2 -- normal
385,234,2,1,,stantler -- generation 2 -- normal
386,235,2,1,,smeargle -- generation 2 -- normal
387,236,2,7,,tyrogue -- generation 2 -- fighting
388,237,2,7,,hitmontop -- generation 2 -- fighting
389,238,2,6,11,"smoochum -- generation 2 -- ice,psychic"
390,239,2,4,,elekid -- generation 2 -- electric
391,240,2,2,,magby -- generation 2 -- fire
392,241,2,1,,miltank -- generation 2 -- normal
393,242,2,1,,blissey -- generation 2 -- normal
394,243,2,4,,raikou -- generation 2 -- electric
395,244,2,2,,entei -- generation 2 -- fire
396,245,2,3,,suicune -- generation 2 -- water
397,246,2,13,9,"larvitar -- generation 2 -- rock,ground"
398,247,2,13,9,"pupitar -- generation 2 -- rock,ground"
399,248,2,13,16,"tyranitar -- generation 2 -- rock,dark"
400,249,2,11,10,"lugia -- generation 2 -- psychic,flying"
401,250,2,2,10,"hooh -- generation 2 -- fire,flying"
402,251,2,11,5,"celebi -- generation 2 -- psychic,grass"
403,1,3,5,8,"bulbasaur -- generation 3 -- grass,poison"
404,2,3,5,8,"ivysaur -- generation 3 -- grass,poison"
405,3,3,5,8,"venusaur -- generation 3 -- grass,poison"
406,4,3,2,,charmander -- generation 3 -- fire
407,5,3,2,,charmeleon -- generation 3 -- fire
408,6,3,2,10,"charizard -- generation 3 -- fire,flying"
409,7,3,3,,squirtle -- generation 3 -- water
410,8,3,3,,wartortle -- generation 3 -- water
411,9,3,3,,blastoise -- generation 3 -- water
412,10,3,12,,caterpie -- generation 3 -- bug
413,11,3,12,,metapod -- generation 3 -- bug
414,12,3,12,10,"butterfree -- generation 3 -- bug,flying"
415,13,3,12,8,"weedle -- generation 3 -- bug,poison"
416,14,3,12,8,"kakuna -- generation 3 -- bug,poison"
417,15,3,12,8,"beedrill -- generation 3 -- bug,poison"
418,16,3,1,10,"pidgey -- generation 3 -- normal,flying"
419,17,3,1,10,"pidgeotto -- generation 3 -- normal,flying"
420,18,3,1,10,"pidgeot -- generation 3 -- normal,flying"
421,19,3,1,,rattata -- generation 3 -- normal
422,20,3,1,,raticate -- generation 3 -- normal
423,21,3,1,10,"spearow -- generation 3 -- normal,flying"
424,22,3,1,10,"fearow -- generation 3 -- normal,flying"
425,23,3,8,,ekans -- generation 3 -- poison
426,24,3,8,,arbok -- generation 3 -- poison
427,25,3,4,,pikachu -- generation 3 -- electric
428,26,3,4,,raichu -- generation 3 -- electric
429,27,3,9,,sandshrew -- generation 3 -- ground
430,28,3,9,,sandslash -- generation 3 -- ground
431,29,3,8,,nidoranf -- generation 3 -- poison
432,30,3,8,,nidorina -- generation 3 -- poison
433,31,3,8,9,"nidoqueen -- generation 3 -- poison,ground"
434,32,3,8,,nidoranm -- generation 3 -- poison
435,33,3,8,,nidorino -- generation 3 -- poison
436,34,3,8,9,"nidoking -- generation 3 -- poison,ground"
437,35,3,1,,clefairy -- generation 3 -- normal
438,36,3,1,,clefable -- generation 3 -- normal
439,37,3,2,,vulpix -- generation 3 -- fire
440,38,3,2,,ninetales -- generation 3 -- fire
441,39,3,1,,jigglypuff -- generation 3 -- normal
442,40,3,1,,wigglytuff -- generation 3 -- normal
443,41,3,8,10,"zubat -- generation 3 -- poison,flying"
444,42,3,8,10,"golbat -- generation 3 -- poison,flying"
445,43,3,5,8,"oddish -- generation 3 -- grass,poison"
446,44,3,5,8,"gloom -- generation 3 -- grass,poison"
447,45,3,5,8,"vileplume -- generation 3 -- grass,poison"
448,46,3,12,5,"paras -- generation 3 -- bug,grass"
449,47,3,12,5,"parasect -- generation 3 -- bug,grass"
450,48,3,12,8,"venonat -- generation 3 -- bug,poison"
451,49,3,12,8,"venomoth -- generation 3 -- bug,poison"
452,50,3,9,,diglett -- generation 3 -- ground
453,51,3,9,,dugtrio -- generation 3 -- ground
454,52,3,1,,meowth -- generation 3 -- normal
455,53,3,1,,persian -- generation 3 -- normal
456,54,3,3,,psyduck -- generation 3 -- water
457,55,3,3,,golduck -- generation 3 -- water
458,56,3,7,,mankey -- generation 3 -- fighting
459,57,3,7,,primeape -- generation 3 -- fighting
460,58,3,2,,growlithe -- generation 3 -- fire
461,59,3,2,,arcanine -- generation 3 -- fire
462,60,3,3,,poliwag -- generation 3 -- water
463,61,3,3,,poliwhirl -- generation 3 -- water
464,62,3,3,7,"poliwrath -- generation 3 -- water,fighting"
465,63,3,11,,abra -- generation 3 -- psychic
466,64,3,11,,kadabra -- generation 3 -- psychic
467,65,3,11,,alakazam -- generation 3 -- psychic
468,66,3,7,,machop -- generation 3 -- fighting
469,67,3,7,,machoke -- generation 3 -- fighting
470,68,3,7,,machamp -- generation 3 -- fighting
471,69,3,5,8,"bellsprout -- generation 3 -- grass,poison"
472,70,3,5,8,"weepinbell -- generation 3 -- grass,poison"
473,71,3,5,8,"victreebel -- generation 3 -- grass,poison"
474,72,3,3,8,"tentacool -- generation 3 -- water,poison"
475,73,3,3,8,"tentacruel -- generation 3 -- water,poison"
476,74,3,13,9,"geodude -- generation 3 -- rock,ground"
477,75,3,13,9,"graveler -- generation 3 -- rock,ground"
478,76,3,13,9,"golem -- generation 3 -- rock,ground"
479,77,3,2,,ponyta -- generation 3 -- fire
480,78,3,2,,rapidash -- generation 3 -- fire
481,79,3,3,11,"slowpoke -- generation 3 -- water,psychic"
482,80,3,3,11,"slowbro -- generation 3 -- water,psychic"
483,81,3,4,17,"magnemite -- generation 3 -- electric,steel"
484,82,3,4,17,"magneton -- generation 3 -- electric,steel"
485,83,3,1,10,"farfetchd -- generation 3 -- normal,flying"
486,84,3,1,10,"doduo -- generation 3 -- normal,flying"
487,85,3,1,10,"dodrio -- generation 3 -- normal,flying"
488,86,3,3,,seel -- generation 3 -- water
489,87,3,3,6,"dewgong -- generation 3 -- water,ice"
490,88,3,8,,grimer -- generation 3 -- poison
491,89,3,8,,muk -- generation 3 -- poison
492,90,3,3,,shellder -- generation 3 -- water
493,91,3,3,6,"cloyster -- generation 3 -- water,ice"
494,92,3,14,8,"gastly -- generation 3 -- ghost,poison"
495,93,3,14,8,"haunter -- generation 3 -- ghost,poison"
496,94,3,14,8,"gengar -- generation 3 -- ghost,poison"
497,95,3,13,9,"onix -- generation 3 -- rock,ground"
498,96,3,11,,drowzee -- generation 3 -- psychic
499,97,3,11,,hypno -- generation 3 -- psychic
500,98,3,3,,krabby -- generation 3 -- water
501,99,3,3,,kingler -- generation 3 -- water
502,100,3,4,,voltorb -- generation 3 -- electric
503,101,3,4,,electrode -- generation 3 -- electric
504,102,3,5,11,"exeggcute -- generation 3 -- grass,psychic"
505,103,3,5,11,"exeggutor -- generation 3 -- grass,psychic"
506,104,3,9,,cubone -- generation 3 -- ground
507,105,3,9,,marowak -- generation 3 -- ground
508,106,3,7,,hitmonlee -- generation 3 -- fighting
509,107,3,7,,hitmonchan -- generation 3 -- fighting
510,108,3,1,,lickitung -- generation 3 -- normal
