id,pokemon_id,generation_id,hp,attack,defense,special_attack,special_defense,speed,meta
56,56,1,40,80,35,35,35,70,mankey -- generation 1
57,57,1,65,105,60,60,60,95,primeape -- generation 1
58,58,1,55,70,45,50,50,60,growlithe -- generation 1
59,59,1,90,110,80,80,80,95,arcanine -- generation 1
60,60,1,40,50,40,40,40,90,poliwag -- generation 1
61,61,1,65,65,65,50,50,90,poliwhirl -- generation 1
62,62,1,90,85,95,70,70,70,poliwrath -- generation 1
63,63,1,25,20,15,105,105,90,abra -- generation 1
64,64,1,40,35,30,120,120,105,kadabra -- generation 1
65,65,1,55,50,45,135,135,120,alakazam -- generation 1
66,66,1,70,80,50,35,35,35,machop -- generation 1
67,67,1,80,100,70,50,50,45,machoke -- generation 1
68,68,1,90,130,80,65,65,55,machamp -- generation 1
69,69,1,50,75,35,70,70,40,bellsprout -- generation 1
70,70,1,65,90,50,85,85,55,weepinbell -- generation 1
71,71,1,80,105,65,100,100,70,victreebel -- generation 1
72,72,1,40,40,35,100,100,70,tentacool -- generation 1
73,73,1,80,70,65,120,120,100,tentacruel -- generation 1
74,74,1,40,80,100,30,30,20,geodude -- generation 1
75,75,1,55,95,115,45,45,35,graveler -- generation 1
76,76,1,80,110,130,55,55,45,golem -- generation 1
77,77,1,50,85,55,65,65,90,ponyta -- generation 1
78,78,1,65,100,70,80,80,105,rapidash -- generation 1
79,79,1,90,65,65,40,40,15,slowpoke -- generation 1
80,80,1,95,75,110,80,80,30,slowbro -- generation 1
81,81,1,25,35,70,95,95,45,magnemite -- generation 1
82,82,1,50,60,95,120,120,70,magneton -- generation 1
83,83,1,52,65,55,58,58,60,farfetchd -- generation 1
84,84,1,35,85,45,35,35,75,doduo -- generation 1
85,85,1,60,110,70,60,60,100,dodrio -- generation 1
86,86,1,65,45,55,70,70,45,seel -- generation 1
87,87,1,90,70,80,95,95,70,dewgong -- generation 1
88,88,1,80,80,50,40,40,25,grimer -- generation 1
89,89,1,105,105,75,65,65,50,muk -- generation 1
90,90,1,30,65,100,45,45,40,shellder -- generation 1
91,91,1,50,95,180,85,85,70,cloyster -- generation 1
92,92,1,30,35,30,100,100,80,gastly -- generation 1
93,93,1,45,50,45,115,115,95,haunter -- generation 1
94,94,1,60,65,60,130,130,110,gengar -- generation 1
95,95,1,35,45,160,30,30,70,onix -- generation 1
96,96,1,60,48,45,90,90,42,drowzee -- generation 1
97,97,1,85,73,70,115,115,67,hypno -- generation 1
98,98,1,30,105,90,25,25,50,krabby -- generation 1
99,99,1,55,130,115,50,50,75,kingler -- generation 1
100,100,1,40,30,50,55,55,100,voltorb -- generation 1
101,101,1,60,50,70,80,80,140,electrode -- generation 1
102,102,1,60,40,80,60,60,40,exeggcute -- generation 1
103,103,1,95,95,85,125,125,55,exeggutor -- generation 1
104,104,1,50,50,95,40,40,35,cubone -- generation 1
105,105,1,60,80,110,50,50,45,marowak -- generation 1
106,106,1,50,120,53,35,35,87,hitmonlee -- generation 1
107,107,1,50,105,79,35,35,76,hitmonchan -- generation 1
108,108,1,90,55,75,60,60,30,lickitung -- generation 1
109,109,1,40,65,95,60,60,35,koffing -- generation 1
110,110,1,65,90,120,85,85,60,weezing -- generation 1
111,111,1,80,85,95,30,30,25,rhyhorn -- generation 1
112,112,1,105,130,120,45,45,40,rhydon -- generation 1
113,113,1,250,5,5,105,105,50,chansey -- generation 1
114,114,1,65,55,115,100,100,60,tangela -- generation 1
115,115,1,105,95,80,40,40,90,kangaskhan -- generation 1
116,116,1,30,40,70,70,70,60,horsea -- generation 1
117,117,1,55,65,95,95,95,85,seadra -- generation 1
118,118,1,45,67,60,50,50,63,goldeen -- generation 1
119,119,1,80,92,65,80,80,68,seaking -- generation 1
120,120,1,30,45,55,70,70,85,staryu -- generation 1
121,121,1,60,75,85,100,100,115,starmie -- generation 1
122,122,1,40,45,65,100,100,90,mrmime -- generation 1
123,123,1,70,110,80,55,55,105,scyther -- generation 1
124,124,1,65,50,35,95,95,95,jynx -- generation 1
125,125,1,65,83,57,85,85,105,electabuzz -- generation 1
126,126,1,65,95,57,85,85,93,magmar -- generation 1
127,127,1,65,125,100,55,55,85,pinsir -- generation 1
128,128,1,75,100,95,70,70,110,tauros -- generation 1
129,129,1,20,10,55,20,20,80,magikarp -- generation 1
130,130,1,95,125,79,100,100,81,gyarados -- generation 1
131,131,1,130,85,80,95,95,60,lapras -- generation 1
132,132,1,48,48,48,48,48,48,ditto -- generation 1
133,133,1,55,55,50,65,65,55,eevee -- generation 1
134,134,1,130,65,60,110,110,65,vaporeon -- generation 1
135,135,1,65,65,60,110,110,130,jolteon -- generation 1
136,136,1,65,130,60,110,110,65,flareon -- generation 1
137,137,1,65,60,70,75,75,40,porygon -- generation 1
138,138,1,35,40,100,90,90,35,omanyte -- generation 1
139,139,1,70,60,125,115,115,55,omastar -- generation 1
140,140,1,30,80,90,45,45,55,kabuto -- generation 1
141,141,1,60,115,105,70,70,80,kabutops -- generation 1
142,142,1,80,105,65,60,60,130,aerodactyl -- generation 1
143,143,1,160,110,65,65,65,30,snorlax -- generation 1
144,144,1,90,85,100,125,125,85,articuno -- generation 1
145,145,1,90,90,85,125,125,100,zapdos -- generation 1
146,146,1,90,100,90,125,125,90,moltres -- generation 1
147,147,1,41,64,45,50,50,50,dratini -- generation 1
148,148,1,61,84,65,70,70,70,dragonair -- generation 1
149,149,1,91,134,95,100,100,80,dragonite -- generation 1
150,150,1,106,110,90,154,154,130,mewtwo -- generation 1
151,151,1,100,100,100,100,100,100,mew -- generation 1
152,1,2,45,49,49,65,65,45,bulbasaur -- generation 2
153,2,2,60,62,63,80,80,60,ivysaur -- generation 2
154,3,2,80,82,83,100,100,80,venusaur -- generation 2
155,4,2,39,52,43,60,50,65,charmander -- generation 2
156,5,2,58,64,58,80,65,80,charmeleon -- generation 2
157,6,2,78,84,78,109,85,100,charizard -- generation 2
158,7,2,44,48,65,50,64,43,squirtle -- generation 2
159,8,2,59,63,80,65,80,58,wartortle -- generation 2
160,9,2,79,83,100,85,105,78,blastoise -- generation 2
161,10,2,45,30,35,20,20,45,caterpie -- generation 2
162,11,2,50,20,55,25,25,30,metapod -- generation 2
163,12,2,60,45,50,80,80,70,butterfree -- generation 2
164,13,2,40,35,30,20,20,50,weedle -- generation 2
165,14,2,45,25,50,25,25,35,kakuna -- generation 2
166,15,2,65,80,40,45,80,75,beedrill -- generation 2
167,16,2,40,45,40,35,35,56,pidgey -- generation 2
168,17,2,63,60,55,50,50,71,pidgeotto -- generation 2
169,18,2,83,80,75,70,70,91,pidgeot -- generation 2
170,19,2,30,56,35,25,35,72,rattata -- generation 2
171,20,2,55,81,60,50,70,97,raticate -- generation 2
172,21,2,40,60,30,31,31,70,spearow -- generation 2
173,22,2,65,90,65,61,61,100,fearow -- generation 2
174,23,2,35,60,44,40,54,55,ekans -- generation 2
175,24,2,60,85,69,65,79,80,arbok -- generation 2
176,25,2,35,55,30,50,40,90,pikachu -- generation 2
177,26,2,60,90,55,90,80,100,raichu -- generation 2
178,27,2,50,75,85,20,30,40,sandshrew -- generation 2
179,28,2,75,100,110,45,55,65,sandslash -- generation 2
180,29,2,55,47,52,40,40,41,nidoranf -- generation 2
181,30,2,70,62,67,55,55,56,nidorina -- generation 2
182,31,2,90,82,87,75,85,76,nidoqueen -- generation 2
183,32,2,46,57,40,40,40,50,nidoranm -- generation 2
184,33,2,61,72,57,55,55,65,nidorino -- generation 2
185,34,2,81,92,77,85,75,85,nidoking -- generation 2
186,35,2,70,45,48,60,65,35,clefairy -- generation 2
187,36,2,95,70,73,85,90,60,clefable -- generation 2
188,37,2,38,41,40,50,65,65,vulpix -- generation 2
189,38,2,73,76,75,81,100,100,ninetales -- generation 2
190,39,2,115,45,20,45,25,20,jigglypuff -- generation 2
191,40,2,140,70,45,75,50,45,wigglytuff -- generation 2
192,41,2,40,45,35,30,40,55,zubat -- generation 2
193,42,2,75,80,70,65,75,90,golbat -- generation 2
194,43,2,45,50,55,75,65,30,oddish -- generation 2
195,44,2,60,65,70,85,75,40,gloom -- generation 2
196,45,2,75,80,85,100,90,50,vileplume -- generation 2
197,46,2,35,70,55,45,55,25,paras -- generation 2
198,47,2,60,95,80,60,80,30,parasect -- generation 2
199,48,2,60,55,50,40,55,45,venonat -- generation 2
200,49,2,70,65,60,90,75,90,venomoth -- generation 2
201,50,2,10,55,25,35,45,95,diglett -- generation 2
202,51,2,35,80,50,50,70,120,dugtrio -- generation 2
203,52,2,40,45,35,40,40,90,meowth -- generation 2
204,53,2,65,70,60,65,65,115,persian -- generation 2
205,54,2,50,52,48,65,50,55,psyduck -- generation 2
206,55,2,80,82,78,95,80,85,golduck -- generation 2
207,56,2,40,80,35,35,45,70,mankey -- generation 2
208,57,2,65,105,60,60,70,95,primeape -- generation 2
209,58,2,55,70,45,70,50,60,growlithe -- generation 2
210,59,2,90,110,80,100,80,95,arcanine -- generation 2
211,60,2,40,50,40,40,40,90,poliwag -- generation 2
212,61,2,65,65,65,50,50,90,poliwhirl -- generation 2
213,62,2,90,85,95,70,90,70,poliwrath -- generation 2
214,63,2,25,20,15,105,55,90,abra -- generation 2
215,64,2,40,35,30,120,70,105,kadabra -- generation 2
216,65,2,55,50,45,135,85,120,alakazam -- generation 2
217,66,2,70,80,50,35,35,35,machop -- generation 2
218,67,2,80,100,70,50,60,45,machoke -- generation 2
219,68,2,90,130,80,65,85,55,machamp -- generation 2
220,69,2,50,75,35,70,30,40,bellsprout -- generation 2
221,70,2,65,90,50,85,45,55,weepinbell -- generation 2
222,71,2,80,105,65,100,60,70,victreebel -- generation 2
223,72,2,40,40,35,50,100,70,tentacool -- generation 2
224,73,2,80,70,65,80,120,100,tentacruel -- generation 2
225,74,2,40,80,100,30,30,20,geodude -- generation 2
226,75,2,55,95,115,45,45,35,graveler -- generation 2
227,76,2,80,110,130,55,65,45,golem -- generation 2
228,77,2,50,85,55,65,65,90,ponyta -- generation 2
229,78,2,65,100,70,80,80,105,rapidash -- generation 2
230,79,2,90,65,65,40,40,15,slowpoke -- generation 2
231,80,2,95,75,110,100,80,30,slowbro -- generation 2
232,81,2,25,35,70,95,55,45,magnemite -- generation 2
233,82,2,50,60,95,120,70,70,magneton -- generation 2
234,83,2,52,65,55,58,62,60,farfetchd -- generation 2
235,84,2,35,85,45,35,35,75,doduo -- generation 2
236,85,2,60,110,70,60,60,100,dodrio -- generation 2
237,86,2,65,45,55,45,70,45,seel -- generation 2
238,87,2,90,70,80,70,95,70,dewgong -- generation 2
239,88,2,80,80,50,40,50,25,grimer -- generation 2
240,89,2,105,105,75,65,100,50,muk -- generation 2
241,90,2,30,65,100,45,25,40,shellder -- generation 2
242,91,2,50,95,180,85,45,70,cloyster -- generation 2
243,92,2,30,35,30,100,35,80,gastly -- generation 2
244,93,2,45,50,45,115,55,95,haunter -- generation 2
245,94,2,60,65,60,130,75,110,gengar -- generation 2
246,95,2,35,45,160,30,45,70,onix -- generation 2
247,96,2,60,48,45,43,90,42,drowzee -- generation 2
248,97,2,85,73,70,73,115,67,hypno -- generation 2
249,98,2,30,105,90,25,25,50,krabby -- generation 2
250,99,2,55,130,115,50,50,75,kingler -- generation 2
251,100,2,40,30,50,55,55,100,voltorb -- generation 2
252,101,2,60,50,70,80,80,140,electrode -- generation 2
253,102,2,60,40,80,60,45,40,exeggcute -- generation 2
254,103,2,95,95,85,125,65,55,exeggutor -- generation 2
255,104,2,50,50,95,40,50,35,cubone -- generation 2
256,105,2,60,80,110,50,80,45,marowak -- generation 2
257,106,2,50,120,53,35,110,87,hitmonlee -- generation 2
258,107,2,50,105,79,35,110,76,hitmonchan -- generation 2
259,108,2,90,55,75,60,75,30,lickitung -- generation 2
260,109,2,40,65,95,60,45,35,koffing -- generation 2
261,110,2,65,90,120,85,70,60,weezing -- generation 2
262,111,2,80,85,95,30,30,25,rhyhorn -- generation 2
263,112,2,105,130,120,45,45,40,rhydon -- generation 2
264,113,2,250,5,5,35,105,50,chansey -- generation 2
265,114,2,65,55,115,100,40,60,tangela -- generation 2
266,115,2,105,95,80,40,80,90,kangaskhan -- generation 2
267,116,2,30,40,70,70,25,60,horsea -- generation 2
268,117,2,55,65,95,95,45,85,seadra -- generation 2
269,118,2,45,67,60,35,50,63,goldeen -- generation 2
270,119,2,80,92,65,65,80,68,seaking -- generation 2
271,120,2,30,45,55,70,55,85,staryu -- generation 2
272,121,2,60,75,85,100,85,115,starmie -- generation 2
273,122,2,40,45,65,100,120,90,mrmime -- generation 2
274,123,2,70,110,80,55,80,105,scyther -- generation 2
275,124,2,65,50,35,115,95,95,jynx -- generation 2
276,125,2,65,83,57,95,85,105,electabuzz -- generation 2
277,126,2,65,95,57,100,85,93,magmar -- generation 2
278,127,2,65,125,100,55,70,85,pinsir -- generation 2
279,128,2,75,100,95,40,70,110,tauros -- generation 2
280,129,2,20,10,55,15,20,80,magikarp -- generation 2
281,130,2,95,125,79,60,100,81,gyarados -- generation 2
282,131,2,130,85,80,85,95,60,lapras -- generation 2
283,132,2,48,48,48,48,48,48,ditto -- generation 2
284,133,2,55,55,50,45,65,55,eevee -- generation 2
285,134,2,130,65,60,110,95,65,vaporeon -- generation 2
286,135,2,65,65,60,110,95,130,jolteon -- generation 2
287,136,2,65,130,60,95,110,65,flareon -- generation 2
288,137,2,65,60,70,85,75,40,porygon -- generation 2
289,138,2,35,40,100,90,55,35,omanyte -- generation 2
290,139,2,70,60,125,115,70,55,omastar -- generation 2
291,140,2,30,80,90,55,45,55,kabuto -- generation 2
292,141,2,60,115,105,65,70,80,kabutops -- generation 2
293,142,2,80,105,65,60,75,130,aerodactyl -- generation 2
294,143,2,160,110,65,65,110,30,snorlax -- generation 2
295,144,2,90,85,100,95,125,85,articuno -- generation 2
296,145,2,90,90,85,125,90,100,zapdos -- generation 2
297,146,2,90,100,90,125,85,90,moltres -- generation 2
298,147,2,41,64,45,50,50,50,dratini -- generation 2
299,148,2,61,84,65,70,70,70,dragonair -- generation 2
300,149,2,91,134,95,100,100,80,dragonite -- generation 2
301,150,2,106,110,90,154,90,130,mewtwo -- generation 2
302,151,2,100,100,100,100,100,100,mew -- generation 2
303,152,2,45,49,65,49,65,45,chikorita -- generation 2
304,153,2,60,62,80,63,80,60,bayleef -- generation 2
305,154,2,80,82,100,83,100,80,meganium -- generation 2
306,155,2,39,52,43,60,50,65,cyndaquil -- generation 2
307,156,2,58,64,58,80,65,80,quilava -- generation 2
308,157,2,78,84,78,109,85,100,typhlosion -- generation 2
309,158,2,50,65,64,44,48,43,totodile -- generation 2
310,159,2,65,80,80,59,63,58,croconaw -- generation 2
311,160,2,85,105,100,79,83,78,feraligatr -- generation 2
312,161,2,35,46,34,35,45,20,sentret -- generation 2
313,162,2,85,76,64,45,55,90,furret -- generation 2
314,163,2,60,30,30,36,56,50,hoothoot -- generation 2
315,164,2,100,50,50,76,96,70,noctowl -- generation 2
316,165,2,40,20,30,40,80,55,ledyba -- generation 2
317,166,2,55,35,50,55,110,85,ledian -- generation 2
318,167,2,40,60,40,40,40,30,spinarak -- generation 2
319,168,2,70,90,70,60,60,40,ariados -- generation 2
320,169,2,85,90,80,70,80,130,crobat -- generation 2
321,170,2,75,38,38,56,56,67,chinchou -- generation 2
322,171,2,125,58,58,76,76,67,lanturn -- generation 2
323,172,2,20,40,15,35,35,60,pichu -- generation 2
324,173,2,50,25,28,45,55,15,cleffa -- generation 2
325,174,2,90,30,15,40,20,15,igglybuff -- generation 2
326,175,2,35,20,65,40,65,20,togepi -- generation 2
327,176,2,55,40,85,80,105,40,togetic -- generation 2
328,177,2,40,50,45,70,45,70,natu -- generation 2
329,178,2,65,75,70,95,70,95,xatu -- generation 2
330,179,2,55,40,40,65,45,35,mareep -- generation 2
331,180,2,70,55,55,80,60,45,flaaffy -- generation 2
332,181,2,90,75,75,115,90,55,ampharos -- generation 2
333,182,2,75,80,85,90,100,50,bellossom -- generation 2
334,183,2,70,20,50,20,50,40,marill -- generation 2
335,184,2,100,50,80,50,80,50,azumarill -- generation 2
336,185,2,70,100,115,30,65,30,sudowoodo -- generation 2
337,186,2,90,75,75,90,100,70,politoed -- generation 2
338,187,2,35,35,40,35,55,50,hoppip -- generation 2
339,188,2,55,45,50,45,65,80,skiploom -- generation 2
340,189,2,75,55,70,55,85,110,jumpluff -- generation 2
341,190,2,55,70,55,40,55,85,aipom -- generation 2
342,191,2,30,30,30,30,30,30,sunkern -- generation 2
343,192,2,75,75,55,105,85,30,sunflora -- generation 2
344,193,2,65,65,45,75,45,95,yanma -- generation 2
345,194,2,55,45,45,25,25,15,wooper -- generation 2
346,195,2,95,85,85,65,65,35,quagsire -- generation 2
347,196,2,65,65,60,130,95,110,espeon -- generation 2
348,197,2,95,65,110,60,130,65,umbreon -- generation 2
349,198,2,60,85,42,85,42,91,murkrow -- generation 2
350,199,2,95,75,80,100,110,30,slowking -- generation 2
351,200,2,60,60,60,85,85,85,misdreavus -- generation 2
352,201,2,48,72,48,72,48,48,unown -- generation 2
353,202,2,190,33,58,33,58,33,wobbuffet -- generation 2
354,203,2,70,80,65,90,65,85,girafarig -- generation 2
355,204,2,50,65,90,35,35,15,pineco -- generation 2
356,205,2,75,90,140,60,60,40,forretress -- generation 2
357,206,2,100,70,70,65,65,45,dunsparce -- generation 2
358,207,2,65,75,105,35,65,85,gligar -- generation 2
359,208,2,75,85,200,55,65,30,steelix -- generation 2
360,209,2,60,80,50,40,40,30,snubbull -- generation 2
361,210,2,90,120,75,60,60,45,granbull -- generation 2
362,211,2,65,95,75,55,55,85,qwilfish -- generation 2
363,212,2,70,130,100,55,80,65,scizor -- generation 2
364,213,2,20,10,230,10,230,5,shuckle -- generation 2
365,214,2,80,125,75,40,95,85,heracross -- generation 2
366,215,2,55,95,55,35,75,115,sneasel -- generation 2
367,216,2,60,80,50,50,50,40,teddiursa -- generation 2
368,217,2,90,130,75,75,75,55,ursaring -- generation 2
369,218,2,40,40,40,70,40,20,slugma -- generation 2
370,219,2,50,50,120,80,80,30,magcargo -- generation 2
371,220,2,50,50,40,30,30,50,swinub -- generation 2
372,221,2,100,100,80,60,60,50,piloswine -- generation 2
373,222,2,55,55,85,65,85,35,corsola -- generation 2
374,223,2,35,65,35,65,35,65,remoraid -- generation 2
375,224,2,75,105,75,105,75,45,octillery -- generation 2
376,225,2,45,55,45,65,45,75,delibird -- generation 2
377,226,2,65,40,70,80,140,70,mantine -- generation 2
378,227,2,65,80,140,40,70,70,skarmory -- generation 2
379,228,2,45,60,30,80,50,65,houndour -- generation 2
380,229,2,75,90,50,110,80,95,houndoom -- generation 2
381,230,2,75,95,95,95,95,85,kingdra -- generation 2
382,231,2,90,60,60,40,40,40,phanpy -- generation 2
383,232,2,90,120,120,60,60,50,donphan -- generation 2
384,233,2,85,80,90,105,95,60,porygon2 -- generation 2
385,234,2,73,95,62,85,65,85,stantler -- generation 2
386,235,2,55,20,35,20,45,75,smeargle -- generation 2
387,236,2,35,35,35,35,35,35,tyrogue -- generation 2
388,237,2,50,95,95,35,110,70,hitmontop -- generation 2
389,238,2,45,30,15,85,65,65,smoochum -- generation 2
390,239,2,45,63,37,65,55,95,elekid -- generation 2
391,240,2,45,75,37,70,55,83,magby -- generation 2
392,241,2,95,80,105,40,70,100,miltank -- generation 2
393,242,2,255,10,10,75,135,55,blissey -- generation 2
394,243,2,90,85,75,115,100,115,raikou -- generation 2
395,244,2,115,115,85,90,75,100,entei -- generation 2
396,245,2,100,75,115,90,115,85,suicune -- generation 2
397,246,2,50,64,50,45,50,41,larvitar -- generation 2
398,247,2,70,84,70,65,70,51,pupitar -- generation 2
399,248,2,100,134,110,95,100,61,tyranitar -- generation 2
400,249,2,106,90,130,90,154,110,lugia -- generation 2
401,250,2,106,130,90,110,154,90,hooh -- generation 2
402,251,2,100,100,100,100,100,100,celebi -- generation 2
403,1,3,45,49,49,65,65,45,bulbasaur -- generation 3
404,2,3,60,62,63,80,80,60,ivysaur -- generation 3
405,3,3,80,82,83,100,100,80,venusaur -- generation 3
406,4,3,39,52,43,60,50,65,charmander -- generation 3
407,5,3,58,64,58,80,65,80,charmeleon -- generation 3
408,6,3,78,84,78,109,85,100,charizard -- generation 3
409,7,3,44,48,65,50,64,43,squirtle -- generation 3
410,8,3,59,63,80,65,80,58,wartortle -- generation 3
411,9,3,79,83,100,85,105,78,blastoise -- generation 3
412,10,3,45,30,35,20,20,45,caterpie -- generation 3
413,11,3,50,20,55,25,25,30,metapod -- generation 3
414,12,3,60,45,50,80,80,70,butterfree -- generation 3
415,13,3,40,35,30,20,20,50,weedle -- generation 3
416,14,3,45,25,50,25,25,35,kakuna -- generation 3
417,15,3,65,80,40,45,80,75,beedrill -- generation 3
418,16,3,40,45,40,35,35,56,pidgey -- generation 3
419,17,3,63,60,55,50,50,71,pidgeotto -- generation 3
420,18,3,83,80,75,70,70,91,pidgeot -- generation 3
421,19,3,30,56,35,25,35,72,rattata -- generation 3
422,20,3,55,81,60,50,70,97,raticate -- generation 3
423,21,3,40,60,30,31,31,70,spearow -- generation 3
424,22,3,65,90,65,61,61,100,fearow -- generation 3
425,23,3,35,60,44,40,54,55,ekans -- generation 3
426,24,3,60,85,69,65,79,80,arbok -- generation 3
427,25,3,35,55,30,50,40,90,pikachu -- generation 3
428,26,3,60,90,55,90,80,100,raichu -- generation 3
429,27,3,50,75,85,20,30,40,sandshrew -- generation 3
430,28,3,75,100,110,45,55,65,sandslash -- generation 3
431,29,3,55,47,52,40,40,41,nidoranf -- generation 3
432,30,3,70,62,67,55,55,56,nidorina -- generation 3
433,31,3,90,82,87,75,85,76,nidoqueen -- generation 3
434,32,3,46,57,40,40,40,50,nidoranm -- generation 3
435,33,3,61,72,57,55,55,65,nidorino -- generation 3
436,34,3,81,92,77,85,75,85,nidoking -- generation 3
437,35,3,70,45,48,60,65,35,clefairy -- generation 3
438,36,3,95,70,73,85,90,60,clefable -- generation 3
439,37,3,38,41,40,50,65,65,vulpix -- generation 3
440,38,3,73,76,75,81,100,100,ninetales -- generation 3
441,39,3,115,45,20,45,25,20,jigglypuff -- generation 3
442,40,3,140,70,45,75,50,45,wigglytuff -- generation 3
443,41,3,40,45,35,30,40,55,zubat -- generation 3
444,42,3,75,80,70,65,75,90,golbat -- generation 3
445,43,3,45,50,55,75,65,30,oddish -- generation 3
446,44,3,60,65,70,85,75,40,gloom -- generation 3
447,45,3,75,80,85,100,90,50,vileplume -- generation 3
448,46,3,35,70,55,45,55,25,paras -- generation 3
449,47,3,60,95,80,60,80,30,parasect -- generation 3
450,48,3,60,55,50,40,55,45,venonat -- generation 3
451,49,3,70,65,60,90,75,90,venomoth -- generation 3
452,50,3,10,55,25,35,45,95,diglett -- generation 3
453,51,3,35,80,50,50,70,120,dugtrio -- generation 3
454,52,3,40,45,35,40,40,90,meowth -- generation 3
455,53,3,65,70,60,65,65,115,persian -- generation 3
456,54,3,50,52,48,65,50,55,psyduck -- generation 3
457,55,3,80,82,78,95,80,85,golduck -- generation 3
458,56,3,40,80,35,35,45,70,mankey -- generation 3
459,57,3,65,105,60,60,70,95,primeape -- generation 3
460,58,3,55,70,45,70,50,60,growlithe -- generation 3
461,59,3,90,110,80,100,80,95,arcanine -- generation 3
462,60,3,40,50,40,40,40,90,poliwag -- generation 3
463,61,3,65,65,65,50,50,90,poliwhirl -- generation 3
464,62,3,90,85,95,70,90,70,poliwrath -- generation 3
465,63,3,25,20,15,105,55,90,abra -- generation 3
466,64,3,40,35,30,120,70,105,kadabra -- generation 3
467,65,3,55,50,45,135,85,120,alakazam -- generation 3
468,66,3,70,80,50,35,35,35,machop -- generation 3
469,67,3,80,100,70,50,60,45,machoke -- generation 3
470,68,3,90,130,80,65,85,55,machamp -- generation 3
471,69,3,50,75,35,70,30,40,bellsprout -- generation 3
472,70,3,65,90,50,85,45,55,weepinbell -- generation 3
473,71,3,80,105,65,100,60,70,victreebel -- generation 3
474,72,3,40,40,35,50,100,70,tentacool -- generation 3
475,73,3,80,70,65,80,120,100,tentacruel -- generation 3
476,74,3,40,80,100,30,30,20,geodude -- generation 3
477,75,3,55,95,115,45,45,35,graveler -- generation 3
478,76,3,80,110,130,55,65,45,golem -- generation 3
479,77,3,50,85,55,65,65,90,ponyta -- generation 3
480,78,3,65,100,70,80,80,105,rapidash -- generation 3
481,79,3,90,65,65,40,40,15,slowpoke -- generation 3
482,80,3,95,75,110,100,80,30,slowbro -- generation 3
483,81,3,25,35,70,95,55,45,magnemite -- generation 3
484,82,3,50,60,95,120,70,70,magneton -- generation 3
