id,name,pokemon_id,form,generation_id,primary_type_id,secondary_type_id,hp,attack,defense,special_attack,special_defense,speed,height,weight
43,Pikachu,pikachu,Sinnoh,1,electric,,35,55,40,50,50,90,0.4,6
44,Pikachu,pikachu,Unova,1,electric,,35,55,40,50,50,90,0.4,6
45,Pikachu,pikachu,Kalos,1,electric,,35,55,40,50,50,90,0.4,6
46,Pikachu,pikachu,Alola,1,electric,,35,55,40,50,50,90,0.4,6
47,Pikachu,pikachu,Partner,1,electric,,35,55,40,50,50,90,0.4,6
48,Pikachu,pikachu,Starter,1,electric,,45,80,50,75,60,120,0.4,6
49,Pikachu,pikachu,World,1,electric,,35,55,40,50,50,90,0.4,6
50,Raichu,raichu,,1,electric,,60,90,55,90,90,100,0.8,30
51,Raichu,raichu,Alola,1,electric,psychic,60,85,50,95,85,110,0.7,21
52,Sandshrew,sandshrew,,1,ground,,50,75,85,30,30,40,0.6,12
53,Sandshrew,sandshrew,Alola,1,ice,steel,50,75,90,10,35,40,0.7,40
54,Sandslash,sandslash,,1,ground,,75,100,110,55,55,65,1,29.5
55,Sandslash,sandslash,Alola,1,ice,steel,75,100,120,25,65,65,1.2,55
56,Nidoran♀,nidoranf,,1,poison,,55,47,52,40,40,41,0.4,7
57,Nidorina,nidorina,,1,poison,,70,62,67,55,55,56,0.8,20
58,Nidoqueen,nidoqueen,,1,poison,ground,90,82,87,75,75,76,1.3,60
59,Nidoran♂,nidoranm,,1,poison,,46,57,40,40,40,50,0.5,9
60,Nidorino,nidorino,,1,poison,,61,72,57,55,55,65,0.9,19.5
61,Nidoking,nidoking,,1,poison,ground,81,92,77,75,75,85,1.4,62
62,Clefairy,clefairy,,1,normal,,70,45,48,60,60,35,0.6,7.5
63,Clefable,clefable,,1,normal,,95,70,73,85,85,60,1.3,40
64,Vulpix,vulpix,,1,fire,,38,41,40,65,65,65,0.6,9.9
65,Vulpix,vulpix,Alola,1,ice,,38,41,40,50,65,65,0.6,9.9
66,Ninetales,ninetales,,1,fire,,73,76,75,100,100,100,1.1,19.9
67,Ninetales,ninetales,Alola,1,ice,fairy,73,67,75,81,100,109,1.1,19.9
68,Jigglypuff,jigglypuff,,1,normal,,115,45,20,25,25,20,0.5,5.5
69,Wigglytuff,wigglytuff,,1,normal,,140,70,45,50,50,45,1,12
70,Zubat,zubat,,1,poison,flying,40,45,35,40,40,55,0.8,7.5
71,Golbat,golbat,,1,poison,flying,75,80,70,75,75,90,1.6,55
72,Oddish,oddish,,1,grass,poison,45,50,55,75,75,30,0.5,5.4
73,Gloom,gloom,,1,grass,poison,60,65,70,85,85,40,0.8,8.6
74,Vileplume,vileplume,,1,grass,poison,75,80,85,100,100,50,1.2,18.6
75,Paras,paras,,1,bug,grass,35,70,55,55,55,25,0.3,5.4
76,Parasect,parasect,,1,bug,grass,60,95,80,80,80,30,1,29.5
77,Venonat,venonat,,1,bug,poison,60,55,50,40,40,45,1,30
78,Venomoth,venomoth,,1,bug,poison,70,65,60,90,90,90,1.5,12.5
79,Diglett,diglett,,1,ground,,10,55,25,45,45,95,0.2,0.8
80,Diglett,diglett,Alola,1,ground,steel,10,55,30,35,45,90,0.2,1
81,Dugtrio,dugtrio,,1,ground,,35,80,50,70,70,120,0.7,33.3
82,Dugtrio,dugtrio,Alola,1,ground,steel,35,100,60,50,70,110,0.7,66.6
83,Meowth,meowth,,1,normal,,40,45,35,40,40,90,0.4,4.2
84,Meowth,meowth,Alola,1,dark,,40,35,35,50,40,90,0.4,4.2
85,Meowth,meowth,Galar,1,steel,,50,65,55,40,40,40,0.4,7.5
86,Persian,persian,,1,normal,,65,70,60,65,65,115,1,32
87,Persian,persian,Alola,1,dark,,65,60,60,75,65,115,1.1,33
88,Psyduck,psyduck,,1,water,,50,52,48,50,50,55,0.8,19.6
89,Golduck,golduck,,1,water,,80,82,78,80,80,85,1.7,76.6
90,Mankey,mankey,,1,fighting,,40,80,35,35,35,70,0.5,28
91,Primeape,primeape,,1,fighting,,65,105,60,60,60,95,1,32
92,Growlithe,growlithe,,1,fire,,55,70,45,50,50,60,0.7,19
93,Growlithe,growlithe,Hisui,1,fire,rock,60,75,45,65,50,55,0.8,22.7
94,Arcanine,arcanine,,1,fire,,90,110,80,80,80,95,1.9,155
95,Arcanine,arcanine,Hisui,1,fire,rock,95,115,80,95,80,90,2,168
96,Poliwag,poliwag,,1,water,,40,50,40,40,40,90,0.6,12.4
97,Poliwhirl,poliwhirl,,1,water,,65,65,65,50,50,90,1,20
98,Poliwrath,poliwrath,,1,water,fighting,90,85,95,70,70,70,1.3,54
99,Abra,abra,,1,psychic,,25,20,15,105,105,90,0.9,19.5
100,Kadabra,kadabra,,1,psychic,,40,35,30,120,120,105,1.3,56.5
101,Alakazam,alakazam,,1,psychic,,55,50,45,135,135,120,1.5,48
102,Alakazam,alakazam,Mega,1,psychic,,55,50,65,175,95,150,1.2,48
103,Machop,machop,,1,fighting,,70,80,50,35,35,35,0.8,19.5
104,Machoke,machoke,,1,fighting,,80,100,70,50,50,45,1.5,70.5
105,Machamp,machamp,,1,fighting,,90,130,80,65,65,55,1.6,130
106,Bellsprout,bellsprout,,1,grass,poison,50,75,35,70,70,40,0.7,4
107,Weepinbell,weepinbell,,1,grass,poison,65,90,50,85,85,55,1,6.4
108,Victreebel,victreebel,,1,grass,poison,80,105,65,100,100,70,1.7,15.5
109,Tentacool,tentacool,,1,water,poison,40,40,35,100,100,70,0.9,45.5
110,Tentacruel,tentacruel,,1,water,poison,80,70,65,120,120,100,1.6,55
111,Geodude,geodude,,1,rock,ground,40,80,100,30,30,20,0.4,20
112,Geodude,geodude,Alola,1,rock,electric,40,80,100,30,30,20,0.4,20.3
113,Graveler,graveler,,1,rock,ground,55,95,115,45,45,35,1,105
114,Graveler,graveler,Alola,1,rock,electric,55,95,115,45,45,35,1,110
115,Golem,golem,,1,rock,ground,80,110,130,55,55,45,1.4,300
116,Golem,golem,Alola,1,rock,electric,80,120,130,55,65,45,1.7,316
117,Ponyta,ponyta,,1,fire,,50,85,55,65,65,90,1,30
118,Ponyta,ponyta,Galar,1,psychic,,50,85,55,65,65,90,0.8,24
119,Rapidash,rapidash,,1,fire,,65,100,70,80,80,105,1.7,95
120,Rapidash,rapidash,Galar,1,psychic,fairy,65,100,70,80,80,105,1.7,80
121,Slowpoke,slowpoke,,1,water,psychic,90,65,65,40,40,15,1.2,36
122,Slowpoke,slowpoke,Galar,1,psychic,,90,65,65,40,40,15,1.2,36
123,Slowbro,slowbro,,1,water,psychic,95,75,110,80,80,30,1.6,78.5
124,Slowbro,slowbro,Mega,1,water,psychic,95,75,180,130,80,30,2,120
125,Slowbro,slowbro,Galar,1,poison,psychic,95,100,95,100,70,30,1.6,70.5
126,Magnemite,magnemite,,1,electric,,25,35,70,95,95,45,0.3,6
127,Magneton,magneton,,1,electric,,50,60,95,120,120,70,1,60
128,Farfetch'd,farfetchd,,1,normal,flying,52,65,55,58,58,60,0.8,15
129,Farfetch'd,farfetchd,Galar,1,fighting,,52,95,55,58,62,55,0.8,42
130,Doduo,doduo,,1,normal,flying,35,85,45,35,35,75,1.4,39.2
131,Dodrio,dodrio,,1,normal,flying,60,110,70,60,60,100,1.8,85.2
132,Seel,seel,,1,water,,65,45,55,70,70,45,1.1,90
133,Dewgong,dewgong,,1,water,ice,90,70,80,95,95,70,1.7,120
134,Grimer,grimer,,1,poison,,80,80,50,40,40,25,0.9,30
135,Grimer,grimer,Alola,1,poison,dark,80,80,50,40,50,25,0.7,42
136,Muk,muk,,1,poison,,105,105,75,65,65,50,1.2,30
137,Muk,muk,Alola,1,poison,dark,105,105,75,65,100,50,1,52
138,Shellder,shellder,,1,water,,30,65,100,45,45,40,0.3,4
139,Cloyster,cloyster,,1,water,ice,50,95,180,85,85,70,1.5,132.5
140,Gastly,gastly,,1,ghost,poison,30,35,30,100,100,80,1.3,0.1
141,Haunter,haunter,,1,ghost,poison,45,50,45,115,115,95,1.6,0.1
142,Gengar,gengar,,1,ghost,poison,60,65,60,130,130,110,1.5,40.5
143,Gengar,gengar,Mega,1,ghost,poison,60,65,80,170,95,130,1.4,40.5
144,Onix,onix,,1,rock,ground,35,45,160,30,30,70,8.8,210
145,Drowzee,drowzee,,1,psychic,,60,48,45,90,90,42,1,32.4
146,Hypno,hypno,,1,psychic,,85,73,70,115,115,67,1.6,75.6
147,Krabby,krabby,,1,water,,30,105,90,25,25,50,0.4,6.5
148,Kingler,kingler,,1,water,,55,130,115,50,50,75,1.3,60
149,Voltorb,voltorb,,1,electric,,40,30,50,55,55,100,0.5,10.4
150,Voltorb,voltorb,Hisui,1,electric,grass,40,30,50,55,55,100,0.5,13
151,Electrode,electrode,,1,electric,,60,50,70,80,80,140,1.2,66.6
152,Electrode,electrode,Hisui,1,electric,grass,60,50,70,80,80,150,1.2,71
153,Exeggcute,exeggcute,,1,grass,psychic,60,40,80,60,60,40,0.4,2.5
154,Exeggutor,exeggutor,,1,grass,psychic,95,95,85,125,125,55,2,120
155,Exeggutor,exeggutor,Alola,1,grass,dragon,95,105,85,125,75,45,10.9,415.6
156,Cubone,cubone,,1,ground,,50,50,95,40,40,35,0.4,6.5
157,Marowak,marowak,,1,ground,,60,80,110,50,50,45,1,45
158,Marowak,marowak,Alola,1,fire,ghost,60,80,110,50,80,45,1,34
159,Marowak,marowak,Alola-Totem,1,fire,ghost,60,80,110,50,80,45,1.7,98
160,Hitmonlee,hitmonlee,,1,fighting,,50,120,53,35,35,87,1.5,49.8
161,Hitmonchan,hitmonchan,,1,fighting,,50,105,79,35,35,76,1.4,50.2
162,Lickitung,lickitung,,1,normal,,90,55,75,60,60,30,1.2,65.5
163,Koffing,koffing,,1,poison,,40,65,95,60,60,35,0.6,1
164,Weezing,weezing,,1,poison,,65,90,120,85,85,60,1.2,9.5
165,Weezing,weezing,Galar,1,poison,fairy,65,90,120,85,70,60,3,16
166,Rhyhorn,rhyhorn,,1,ground,rock,80,85,95,30,30,25,1,115
167,Rhydon,rhydon,,1,ground,rock,105,130,120,45,45,40,1.9,120
168,Chansey,chansey,,1,normal,,250,5,5,105,105,50,1.1,34.6
169,Tangela,tangela,,1,grass,,65,55,115,100,100,60,1,35
170,Kangaskhan,kangaskhan,,1,normal,,105,95,80,40,40,90,2.2,80
171,Kangaskhan,kangaskhan,Mega,1,normal,,105,125,100,60,100,100,2.2,100
172,Horsea,horsea,,1,water,,30,40,70,70,70,60,0.4,8
173,Seadra,seadra,,1,water,,55,65,95,95,95,85,1.2,25
174,Goldeen,goldeen,,1,water,,45,67,60,50,50,63,0.6,15
175,Seaking,seaking,,1,water,,80,92,65,80,80,68,1.3,39
176,Staryu,staryu,,1,water,,30,45,55,70,70,85,0.8,34.5
177,Starmie,starmie,,1,water,psychic,60,75,85,100,100,115,1.1,80
178,Mr. Mime,mrmime,,1,psychic,,40,45,65,100,100,90,1.3,54.5
179,Mr. Mime,mrmime,Galar,1,ice,psychic,50,65,65,90,90,100,1.4,56.8
180,Scyther,scyther,,1,bug,flying,70,110,80,55,55,105,1.5,56
181,Jynx,jynx,,1,ice,psychic,65,50,35,95,95,95,1.4,40.6
182,Electabuzz,electabuzz,,1,electric,,65,83,57,85,85,105,1.1,30
183,Magmar,magmar,,1,fire,,65,95,57,85,85,93,1.3,44.5
184,Pinsir,pinsir,,1,bug,,65,125,100,55,55,85,1.5,55
185,Pinsir,pinsir,Mega,1,bug,flying,65,155,120,65,90,105,1.7,59
186,Tauros,tauros,,1,normal,,75,100,95,70,70,110,1.4,88.4
187,Tauros,tauros,Paldea-Combat,1,fighting,,75,110,105,30,70,100,1.4,115
188,Tauros,tauros,Paldea-Blaze,1,fighting,fire,75,110,105,30,70,100,1.4,85
189,Tauros,tauros,Paldea-Aqua,1,fighting,water,75,110,105,30,70,100,1.4,110
190,Magikarp,magikarp,,1,water,,20,10,55,20,20,80,0.9,10
191,Gyarados,gyarados,,1,water,flying,95,125,79,100,100,81,6.5,235
192,Gyarados,gyarados,Mega,1,water,dark,95,155,109,70,130,81,6.5,305
193,Lapras,lapras,,1,water,ice,130,85,80,95,95,60,2.5,220
194,Ditto,ditto,,1,normal,,48,48,48,48,48,48,0.3,4
195,Eevee,eevee,,1,normal,,55,55,50,65,65,55,0.3,6.5
196,Eevee,eevee,Starter,1,normal,,65,75,70,65,85,75,0.3,6.5
197,Vaporeon,vaporeon,,1,water,,130,65,60,110,110,65,1,29
198,Jolteon,jolteon,,1,electric,,65,65,60,110,110,130,0.8,24.5
199,Flareon,flareon,,1,fire,,65,130,60,110,110,65,0.9,25
200,Porygon,porygon,,1,normal,,65,60,70,75,75,40,0.8,36.5
201,Omanyte,omanyte,,1,rock,water,35,40,100,90,90,35,0.4,7.5
202,Omastar,omastar,,1,rock,water,70,60,125,115,115,55,1,35
203,Kabuto,kabuto,,1,rock,water,30,80,90,45,45,55,0.5,11.5
204,Kabutops,kabutops,,1,rock,water,60,115,105,70,70,80,1.3,40.5
205,Aerodactyl,aerodactyl,,1,rock,flying,80,105,65,60,60,130,1.8,59
206,Aerodactyl,aerodactyl,Mega,1,rock,flying,80,135,85,70,95,150,2.1,79
207,Snorlax,snorlax,,1,normal,,160,110,65,65,65,30,2.1,460
208,Articuno,articuno,,1,ice,flying,90,85,100,125,125,85,1.7,55.4
209,Articuno,articuno,Galar,1,psychic,flying,90,85,85,125,100,95,1.7,50.9
210,Zapdos,zapdos,,1,electric,flying,90,90,85,125,125,100,1.6,52.6
211,Zapdos,zapdos,Galar,1,fighting,flying,90,125,90,85,90,100,1.6,58.2
212,Moltres,moltres,,1,fire,flying,90,100,90,125,125,90,2,60
213,Moltres,moltres,Galar,1,dark,flying,90,85,90,100,125,90,2,66
214,Dratini,dratini,,1,dragon,,41,64,45,50,50,50,1.8,3.3
215,Dragonair,dragonair,,1,dragon,,61,84,65,70,70,70,4,16.5
216,Dragonite,dragonite,,1,dragon,flying,91,134,95,100,100,80,2.2,210
217,Mewtwo,mewtwo,,1,psychic,,106,110,90,154,154,130,2,122
218,Mewtwo,mewtwo,Mega-X,1,psychic,fighting,106,190,100,154,100,130,2.3,127
219,Mewtwo,mewtwo,Mega-Y,1,psychic,,106,150,70,194,120,140,1.5,33
220,Mew,mew,,1,psychic,,100,100,100,100,100,100,0.4,4
221,Bulbasaur,bulbasaur,,1,grass,poison,45,49,49,65,65,45,0.7,6.9
222,Ivysaur,ivysaur,,1,grass,poison,60,62,63,80,80,60,1,13
223,Venusaur,venusaur,,1,grass,poison,80,82,83,100,100,80,2,100
224,Venusaur,venusaur,Mega,1,grass,poison,80,100,123,122,120,80,2.4,155.5
225,Charmander,charmander,,1,fire,,39,52,43,60,50,65,0.6,8.5
226,Charmeleon,charmeleon,,1,fire,,58,64,58,80,65,80,1.1,19
227,Charizard,charizard,,1,fire,flying,78,84,78,109,85,100,1.7,90.5
228,Charizard,charizard,Mega-X,1,fire,dragon,78,130,111,130,85,100,1.7,110.5
229,Charizard,charizard,Mega-Y,1,fire,flying,78,104,78,159,115,100,1.7,100.5
230,Squirtle,squirtle,,1,water,,44,48,65,50,64,43,0.5,9
231,Wartortle,wartortle,,1,water,,59,63,80,65,80,58,1,22.5
232,Blastoise,blastoise,,1,water,,79,83,100,85,105,78,1.6,85.5
233,Blastoise,blastoise,Mega,1,water,,79,103,120,135,115,78,1.6,101.1
234,Caterpie,caterpie,,1,bug,,45,30,35,20,20,45,0.3,2.9
235,Metapod,metapod,,1,bug,,50,20,55,25,25,30,0.7,9.9
236,Butterfree,butterfree,,1,bug,flying,60,45,50,80,80,70,1.1,32
237,Weedle,weedle,,1,bug,poison,40,35,30,20,20,50,0.3,3.2
238,Kakuna,kakuna,,1,bug,poison,45,25,50,25,25,35,0.6,10
239,Beedrill,beedrill,,1,bug,poison,65,80,40,45,80,75,1,29.5
240,Beedrill,beedrill,Mega,1,bug,poison,65,150,40,15,80,145,1.4,40.5
241,Pidgey,pidgey,,1,normal,flying,40,45,40,35,35,56,0.3,1.8
242,Pidgeotto,pidgeotto,,1,normal,flying,63,60,55,50,50,71,1.1,30
243,Pidgeot,pidgeot,,1,normal,flying,83,80,75,70,70,91,1.5,39.5
244,Pidgeot,pidgeot,Mega,1,normal,flying,83,80,80,135,80,121,2.2,50.5
245,Rattata,rattata,,1,normal,,30,56,35,25,35,72,0.3,3.5
246,Rattata,rattata,Alola,1,dark,normal,30,56,35,25,35,72,0.3,3.8
247,Raticate,raticate,,1,normal,,55,81,60,50,70,97,0.7,18.5
248,Raticate,raticate,Alola,1,dark,normal,75,71,70,40,80,77,0.7,25.5
249,Raticate,raticate,Alola-Totem,1,dark,normal,75,71,70,40,80,77,1.4,105
250,Spearow,spearow,,1,normal,flying,40,60,30,31,31,70,0.3,2
251,Fearow,fearow,,1,normal,flying,65,90,65,61,61,100,1.2,38
252,Ekans,ekans,,1,poison,,35,60,44,40,54,55,2,6.9
253,Arbok,arbok,,1,poison,,60,85,69,65,79,80,3.5,65
254,Pikachu,pikachu,,1,electric,,35,55,30,50,40,90,0.4,6
255,Pikachu,pikachu,Cosplay,1,electric,,35,55,40,50,50,90,0.4,6
256,Pikachu,pikachu,Rock-Star,1,electric,,35,55,40,50,50,90,0.4,6
257,Pikachu,pikachu,Belle,1,electric,,35,55,40,50,50,90,0.4,6
258,Pikachu,pikachu,Pop-Star,1,electric,,35,55,40,50,50,90,0.4,6
259,Pikachu,pikachu,PhD,1,electric,,35,55,40,50,50,90,0.4,6
260,Pikachu,pikachu,Libre,1,electric,,35,55,40,50,50,90,0.4,6
261,Pikachu,pikachu,Original,1,electric,,35,55,40,50,50,90,0.4,6
262,Pikachu,pikachu,Hoenn,1,electric,,35,55,40,50,50,90,0.4,6
263,Pikachu,pikachu,Sinnoh,1,electric,,35,55,40,50,50,90,0.4,6
264,Pikachu,pikachu,Unova,1,electric,,35,55,40,50,50,90,0.4,6
265,Pikachu,pikachu,Kalos,1,electric,,35,55,40,50,50,90,0.4,6
266,Pikachu,pikachu,Alola,1,electric,,35,55,40,50,50,90,0.4,6
267,Pikachu,pikachu,Partner,1,electric,,35,55,40,50,50,90,0.4,6
268,Pikachu,pikachu,Starter,1,electric,,45,80,50,75,60,120,0.4,6
269,Pikachu,pikachu,World,1,electric,,35,55,40,50,50,90,0.4,6
270,Raichu,raichu,,1,electric,,60,90,55,90,80,100,0.8,30
271,Raichu,raichu,Alola,1,electric,psychic,60,85,50,95,85,110,0.7,21
272,Sandshrew,sandshrew,,1,ground,,50,75,85,20,30,40,0.6,12
273,Sandshrew,sandshrew,Alola,1,ice,steel,50,75,90,10,35,40,0.7,40
274,Sandslash,sandslash,,1,ground,,75,100,110,45,55,65,1,29.5
275,Sandslash,sandslash,Alola,1,ice,steel,75,100,120,25,65,65,1.2,55
276,Nidoran♀,nidoranf,,1,poison,,55,47,52,40,40,41,0.4,7
277,Nidorina,nidorina,,1,poison,,70,62,67,55,55,56,0.8,20
278,Nidoqueen,nidoqueen,,1,poison,ground,90,82,87,75,85,76,1.3,60
279,Nidoran♂,nidoranm,,1,poison,,46,57,40,40,40,50,0.5,9
280,Nidorino,nidorino,,1,poison,,61,72,57,55,55,65,0.9,19.5
281,Nidoking,nidoking,,1,poison,ground,81,92,77,85,75,85,1.4,62
282,Clefairy,clefairy,,1,normal,,70,45,48,60,65,35,0.6,7.5
283,Clefable,clefable,,1,normal,,95,70,73,85,90,60,1.3,40
284,Vulpix,vulpix,,1,fire,,38,41,40,50,65,65,0.6,9.9
285,Vulpix,vulpix,Alola,1,ice,,38,41,40,50,65,65,0.6,9.9
286,Ninetales,ninetales,,1,fire,,73,76,75,81,100,100,1.1,19.9
287,Ninetales,ninetales,Alola,1,ice,fairy,73,67,75,81,100,109,1.1,19.9
288,Jigglypuff,jigglypuff,,1,normal,,115,45,20,45,25,20,0.5,5.5
289,Wigglytuff,wigglytuff,,1,normal,,140,70,45,75,50,45,1,12
290,Zubat,zubat,,1,poison,flying,40,45,35,30,40,55,0.8,7.5
291,Golbat,golbat,,1,poison,flying,75,80,70,65,75,90,1.6,55
292,Oddish,oddish,,1,grass,poison,45,50,55,75,65,30,0.5,5.4
293,Gloom,gloom,,1,grass,poison,60,65,70,85,75,40,0.8,8.6
294,Vileplume,vileplume,,1,grass,poison,75,80,85,100,90,50,1.2,18.6
295,Paras,paras,,1,bug,grass,35,70,55,45,55,25,0.3,5.4
296,Parasect,parasect,,1,bug,grass,60,95,80,60,80,30,1,29.5
297,Venonat,venonat,,1,bug,poison,60,55,50,40,55,45,1,30
298,Venomoth,venomoth,,1,bug,poison,70,65,60,90,75,90,1.5,12.5
299,Diglett,diglett,,1,ground,,10,55,25,35,45,95,0.2,0.8
300,Diglett,diglett,Alola,1,ground,steel,10,55,30,35,45,90,0.2,1
301,Dugtrio,dugtrio,,1,ground,,35,80,50,50,70,120,0.7,33.3
302,Dugtrio,dugtrio,Alola,1,ground,steel,35,100,60,50,70,110,0.7,66.6
303,Meowth,meowth,,1,normal,,40,45,35,40,40,90,0.4,4.2
304,Meowth,meowth,Alola,1,dark,,40,35,35,50,40,90,0.4,4.2
305,Meowth,meowth,Galar,1,steel,,50,65,55,40,40,40,0.4,7.5
306,Persian,persian,,1,normal,,65,70,60,65,65,115,1,32
307,Persian,persian,Alola,1,dark,,65,60,60,75,65,115,1.1,33
308,Psyduck,psyduck,,1,water,,50,52,48,65,50,55,0.8,19.6
309,Golduck,golduck,,1,water,,80,82,78,95,80,85,1.7,76.6
310,Mankey,mankey,,1,fighting,,40,80,35,35,45,70,0.5,28
311,Primeape,primeape,,1,fighting,,65,105,60,60,70,95,1,32
312,Growlithe,growlithe,,1,fire,,55,70,45,70,50,60,0.7,19
313,Growlithe,growlithe,Hisui,1,fire,rock,60,75,45,65,50,55,0.8,22.7
314,Arcanine,arcanine,,1,fire,,90,110,80,100,80,95,1.9,155
315,Arcanine,arcanine,Hisui,1,fire,rock,95,115,80,95,80,90,2,168
316,Poliwag,poliwag,,1,water,,40,50,40,40,40,90,0.6,12.4
317,Poliwhirl,poliwhirl,,1,water,,65,65,65,50,50,90,1,20
318,Poliwrath,poliwrath,,1,water,fighting,90,85,95,70,90,70,1.3,54
319,Abra,abra,,1,psychic,,25,20,15,105,55,90,0.9,19.5
320,Kadabra,kadabra,,1,psychic,,40,35,30,120,70,105,1.3,56.5
321,Alakazam,alakazam,,1,psychic,,55,50,45,135,85,120,1.5,48
322,Alakazam,alakazam,Mega,1,psychic,,55,50,65,175,95,150,1.2,48
323,Machop,machop,,1,fighting,,70,80,50,35,35,35,0.8,19.5
324,Machoke,machoke,,1,fighting,,80,100,70,50,60,45,1.5,70.5
325,Machamp,machamp,,1,fighting,,90,130,80,65,85,55,1.6,130
326,Bellsprout,bellsprout,,1,grass,poison,50,75,35,70,30,40,0.7,4
327,Weepinbell,weepinbell,,1,grass,poison,65,90,50,85,45,55,1,6.4
328,Victreebel,victreebel,,1,grass,poison,80,105,65,100,60,70,1.7,15.5
329,Tentacool,tentacool,,1,water,poison,40,40,35,50,100,70,0.9,45.5
330,Tentacruel,tentacruel,,1,water,poison,80,70,65,80,120,100,1.6,55
331,Geodude,geodude,,1,rock,ground,40,80,100,30,30,20,0.4,20
332,Geodude,geodude,Alola,1,rock,electric,40,80,100,30,30,20,0.4,20.3
333,Graveler,graveler,,1,rock,ground,55,95,115,45,45,35,1,105
334,Graveler,graveler,Alola,1,rock,electric,55,95,115,45,45,35,1,110
335,Golem,golem,,1,rock,ground,80,110,130,55,65,45,1.4,300
336,Golem,golem,Alola,1,rock,electric,80,120,130,55,65,45,1.7,316
337,Ponyta,ponyta,,1,fire,,50,85,55,65,65,90,1,30
338,Ponyta,ponyta,Galar,1,psychic,,50,85,55,65,65,90,0.8,24
339,Rapidash,rapidash,,1,fire,,65,100,70,80,80,105,1.7,95
340,Rapidash,rapidash,Galar,1,psychic,fairy,65,100,70,80,80,105,1.7,80
341,Slowpoke,slowpoke,,1,water,psychic,90,65,65,40,40,15,1.2,36
342,Slowpoke,slowpoke,Galar,1,psychic,,90,65,65,40,40,15,1.2,36
343,Slowbro,slowbro,,1,water,psychic,95,75,110,100,80,30,1.6,78.5
344,Slowbro,slowbro,Mega,1,water,psychic,95,75,180,130,80,30,2,120
